,Created-At,Text,Brand
0,2021-12-10 10:52:01,"Here you go. @GovRamil Looking good in Laguna.
#COVID19 #resbakuna https://t.co/oW7VFlOvu5",Unknown
1,2021-12-09 19:16:32,"Got Zombified! ?

#BoosterShot #Pfizer
#ResBakuna ?? https://t.co/aBsj4nwSnt",Pfizer
2,2021-12-08 01:07:49,"Happiest 1st Year Anniversary to my #TeamBakuNanay FAM!

#ProudToBeABakuNanay #VaccineWorksForAll #HealthierPhilippines #AllAboutBakuna #RESBakuna #BIDABAKUNATION https://t.co/HUXX6vJ2dJ",Unknown
3,2021-12-07 16:09:23,"ALL COVID-19 boosters work!

While most studies show ???? immunogenicity with mRNA-based boosters (i.e. Pfizer, Moderna) regardless of primary series, ALL boosters show ?? antibody titers! 

Schedule your booster shot with your LGU/health facility! #ResBakuna #COVID19 https://t.co/oZ30uPW6Dx",Pfizer
4,2021-12-06 23:42:43,"Thanks God, I just got my second dose of vaccine today ???? Finally, I'm fully vaccinated ?? #Pfizer #FullyVaccinated #GetVaccinatedToBeProtected #Resbakuna @ Nasugbu Auditorium https://t.co/twD6i9xOJN",Pfizer
5,2021-12-05 05:50:42,Weekend Bakunahan later at Bugallon and Basista later this afternoon with Covid Vaccination Team I. #buhaypublichealth #resbakuna,Unknown
6,2021-12-07 09:26:21,"As part of the 'Manaragat Speaks' campaign, Queen Manaragat 2021 Jayne Plasabas shares her thoughts on getting vaccinated:

#manaragatadvocate
#manaragatorganization #queenmanaragat #missmaquedagay  #manaragatfestival #catbalogancity #resbakunakasanggangbida2021 #BIDABakunation https://t.co/k7RBgy57oq",Unknown
7,2021-12-10 21:28:34,Boost your immune system go for a booster #Sinovac #homologousbooster https://t.co/RJkeRsrwQa,Sinovac
8,2021-12-09 22:23:22,"Second dose done.
#Sinovac",Sinovac
9,2021-12-06 22:03:52,"Got my 1st dose?
#Sinovac",Sinovac
10,2021-12-13 10:23:33,"BIDA Solusyon. Mag #Resbakuna na

#70thMissUniverse 
#MissUniverse 
#MissUniversePhilippines2021 
#",Unknown
11,2021-12-13 10:02:12,"Ibigay natin ang regalo ng mas ligtas na Pasko sa bawat pamilyang Pilipino sa pamamagitan ng bayanihan! ?
Mag-register sa link na ito: https://t.co/nA5WEz6kix
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",Unknown
12,2021-12-13 08:44:42,"Mas ligtas ang simbang gabi kapag bakunado ka, beh! ??

Kasama ng mask, hugas, iwas, at airflow, magpa-ResBakuna na!

Hikayatin na rin ang buong pamilya, lalo na sina lolo�t lola, dahil protektado ang pasko ng pamilyang bakunado! ?

#RESBAKUNA
#LigtasChristmas https://t.co/zbz5nynoQR",Unknown
13,2021-12-12 20:09:31,"RT @PIADesk: Wala pang naitatala na nasawi dahil sa pagpapaturok ng COVID-19 vaccine.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExp�",
14,2021-12-12 13:43:05,"Sama-sama muli nating tulungang bakunahan ang bawat komunidad sa darating na National Vaccination Days 2 mula December 15-17! ?
 
#BayanihanBakunahan
#Resbakuna https://t.co/BfVnGV9Xq7",
15,2021-12-12 13:03:48,"RT @DOHgovph: Mag-register sa link na ito: https://t.co/nA5WEyPhgx
 
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",
16,2021-12-12 11:00:00,"Naabot na ang target na population protection sa Tagaytay City.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/bvxbcFlyfY",
17,2021-12-12 09:18:54,"TATLONG araw nalang, Bayanihan Bakunahan PART 2 na. Muling makiisa sa ikalawang yugto ng National Vaccination Days sa Dec. 15 hanggang Dec. 17, 2021.
#bayanihanbakunahan
#HeroesGetVaxxed
#resbakuna
#BayaniAngBakunado
#BakunaBayaniTayo
#ResbakunaSaPasko
#bangsamorogovernment https://t.co/doXG0AvsMW",
18,2021-12-12 09:00:01,"Wala ngang COVID-19, malalang adverse effect naman ang kahaharapin kapag ang third COVID-19 vaccine shot at booster dose ay minadali.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/uwRHCPPAWB",
19,2021-12-11 22:00:02,"Wala pang naitatala na nasawi dahil sa pagpapaturok ng COVID-19 vaccine.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/SPLYACVlub",
20,2021-12-11 20:02:42,"Mag-register sa link na ito: https://t.co/nA5WEyPhgx
 
#BayanihanBakunahan
#Resbakuna
#LigtasChristmas
#BayaniAngBakunado",
21,2021-12-11 19:54:25,"RT @pcoogov: TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17,�",
22,2021-12-11 19:41:27,"Mas ligtas ang simbang gabi kapag bakunado ka! ??

Kasama ng mask, hugas, iwas, at airflow, magpa-ResBakuna na!

Hikayatin na rin ang buong pamilya, lalo na sina lolo�t lola, dahil protektado ang pasko ng pamilyang bakunado! ?

#RESBAKUNA
#LigtasChristmas https://t.co/X8jwkT1wZx",
23,2021-12-11 15:01:14,"APAT na araw nalang, Bayanihan Bakunahan sa Bangsamoro Part 2 na po. 
December 15,16 and 17, 2021.
#bayanihanbakunahan
#HeroesGetVaxxed
#resbakuna
#BayaniAngBakunado
#BakunaBayaniTayo
#ResbakunaSaPasko
#bangsamorogovernment
#MOHBARMM https://t.co/jvw64JWAj4",
24,2021-12-11 14:30:00,"Dumadami na ang kabataang nababakunahan sa Brgy. Baras, San Miguel, Surigao del Sur.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/oiZz2zJ0ze",
25,2021-12-11 12:30:00,"Ipinagmalaki ni Provincial Administrator Esmeraldo Raymundo na lumampas pa sa target  ang bilang ng nabakunahan sa Surigao del Sur sa idinaos na Bayanihan, Bakunahan.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/Iz21tfUtm3",
26,2021-12-11 11:30:00,"Basahin ang target na bilang ng lokal na pamahalaan ng Surigao Del Sur sa ikalawang round ng Bayanihan Bakunahan

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/WyvLhaP11C",
27,2021-12-11 10:40:27,RT @PIADesk: Inihayag ni Surigao Del Sur Provincial Adminstrator Esmeraldo Raymundo ang naging problema nila sa pagbabakuna at kung paano n�,
28,2021-12-11 10:30:00,"Inihayag ni Surigao Del Sur Provincial Adminstrator Esmeraldo Raymundo ang naging problema nila sa pagbabakuna at kung paano nila niresolba ito

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/uPEtFuLVqa",
29,2021-12-11 06:00:01,"NAVOBAKUNA | Sa tala ng ating City Health Office, 187,187 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 167,423 na ang nakakumpleto ng dalawang doses at 4,905 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/acgVeUeEls",
30,2021-12-11 03:18:07,"RT @ntfcovid19ph: �Buong Pilipinas po ito, wala pong pinipili. Ito ay whole-of-government approach na lahat po ng ahensya ng gobyerno ay in�",
31,2021-12-10 21:51:35,"RT @PIADesk: Mga lugar sa NCR Plus 8, nakamit na ang herd immunity laban sa COVID-19 dahil sa tuloy-tuloy na pagbabakuna.
 
#RESBAKUNA #BID�",
32,2021-12-10 21:07:28,"Isinagawa ang naturang aktibidad ngayong araw, ika-10 ng Disyembre 2021, sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng lalawigan.

#BatangasMagiting
#HugasIwasMask
#COVID19VaccinePH 
#RESBAKUNA
#BIDABakunation
#BIDASolusyon https://t.co/Zug5oEF9nq",
33,2021-12-10 19:00:20,"RT @PTVph: BASAHIN: Ayon kay National Task Force Against COVID-19 adviser Dr. Ted Herbosa, magpabakuna na sa darating na Bayanihan Bakunaha�",
34,2021-12-10 18:30:00,"Pagpapatupad ng Mandatory vaccination sa Surigao del Sur, nilinaw na hindi paglabag sa human rights ng mga manggagawa.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/9dtN1OS4hJ",
35,2021-12-10 18:21:56,"NAVOBAKUNA | Nagbukas po tayo ng slots bukas, 11 December 2021, para sa Pfizer booster para sa mga kabilang sa Priority Group A3 o mga may comorbidity. Magpa-schedule po sa https://t.co/85OtP5oadL

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/xbWMFOnBBH",
36,2021-12-10 18:19:27,"RT @pcoogov: TINGNAN: Nitong Huwebes, Disyembre 9, sinabi ni @DOHgovph Sec. Francisco Duque III na target ng gobyerno na mabigyan ng kumple�",
37,2021-12-10 17:22:31,"Ukol naman sa pagbibigay ng booster shots sa mga menor de edad, ani Herbosa na ang pagbabago ng emergency use authorization ay depende sa aplikasyon ng Pfizer sa Food and Drug Administration.

#BayanihanBakunahan2
#RESBAKUNA 

(2/2)",
38,2021-12-10 17:21:54,"BASAHIN: Ayon kay National Task Force Against COVID-19 adviser Dr. Ted Herbosa, magpabakuna na sa darating na Bayanihan Bakunahan 2 ang mga hindi pa nagpapaturok upang maprotektahan laban sa coronavirus.

#BayanihanBakunahan2
#RESBAKUNA 

(1/2) https://t.co/7Lo5QsMW5I",
39,2021-12-10 16:00:00,"Mga lugar sa NCR Plus 8, nakamit na ang herd immunity laban sa COVID-19 dahil sa tuloy-tuloy na pagbabakuna.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/vRmKzxRY1D",
40,2021-12-10 12:30:00,"Ang lokal na pamahalaan na mismo ang pumupunta sa mga barangay upang mailapit ang bakuna sa mga mamamayan ng Surallah, South Cotabato.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/FNKncUv9Hl",
41,2021-12-10 12:02:26,"TINGNAN: Nitong Huwebes, Disyembre 9, kinilala ng pamahalaan ang mga nangungunang munisipalidad, lalawigan, at rehiyon na may mataas na bilang ng mga naiturok na COVID-19 doses sa unang 'Bayanihan, Bakunahan' National COVID-19 Vaccination Days.

#BayanihanBakunahan
#Resbakuna https://t.co/eRabR1Yzh6",
42,2021-12-10 11:30:00,"Inihayag ni Vice Mayor Pinky Divinagracia na maganda ang resulta ng kampanya ng pamahalaan kaya maraming nabakunahan sa Surallah, South Cotabato

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/CEgAtoatfE",
43,2021-12-10 11:05:56,"TINGNAN: Nitong Huwebes, Disyembre 9, sinabi ni @DOHgovph Sec. Francisco Duque III na target ng gobyerno na mabigyan ng kumpletong bakuna ang 90 pursyento ng kabuuang populasyon ng bansa bago mag Hunyo 2022.

#workingPCOO
#WeRiseAsOne
#RESBAKUNA+ https://t.co/BWlOmnBj04",
44,2021-12-10 08:20:35,"RT @ph_opafa: WATCH: Tuloy ang #ResBakuna as an addt�l ?.??? ????? of GPH-procured Pfizer vaccines arrived today, Dec.8! Basta sama-sama�t�",
45,2021-12-10 08:19:22,"NAVOBAKUNA | Sa tala ng ating City Health Office, 186,925 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 166,502 na ang nakakumpleto ng dalawang doses at 4,651 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/cvNzqIawge",
46,2021-12-10 05:25:58,"RT @pcoogov: TINGNAN: Sinabi ni @ntfcovid19ph Chief Implementer and Vaccine Czar, Sec. Carlito Galvez Jr. na malapit nang maabot ng bansa a�",
47,2021-12-09 21:30:00,"Sa 2nd batch ng Bayanihan Bakunahan, mismong LGU na ang magpupunta sa mga barangay nila sa Surallah, South Cotabato.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/etfSRhpG8g",
48,2021-12-09 21:06:36,"RT @batspiocapitol: Isinasagawa ang naturang aktibidad sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng l�",
49,2021-12-09 19:22:46,"TINGNAN: Sinabi ni @ntfcovid19ph Chief Implementer and Vaccine Czar, Sec. Carlito Galvez Jr. na malapit nang maabot ng bansa ang unang tagumpay nito kapag nakumpleto na ang bakuna ng 54 na milyong indibidwal bago matapos ang taon.

#BayanihanBakunahan
#Resbakuna 
#workingPCOO https://t.co/dSfLxv5NSC",
50,2021-12-09 19:15:02,"Isinasagawa ang naturang aktibidad sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng lalawigan.
December 9, 2021

#BatangasMagiting
#HandaIngatMagiting 
#HugasIwasMask
#COVID19VaccinePH 
#RESBAKUNA
#BIDABakunation
#BIDASolusyon https://t.co/8oJBXWMn2X",
51,2021-12-09 17:49:47,"Tatlong sites din ang binuksan para sa mga naka-schedule ng 2nd dose ng Astrazeneca at mga nag-walk in para sa 1st o booster dose ng parehong bakuna. 

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/RF4ZDl2h1W",
52,2021-12-09 17:33:38,RT @pcoogov: TINGNAN: Mahigit isang milyong doses ng Pfizer vaccines na binili ng gobyerno sa pamamagitan ng ADB ang dumating sa bansa nito�,
53,2021-12-09 17:05:42,"TINGNAN: Mahigit isang milyong doses ng Pfizer vaccines na binili ng gobyerno sa pamamagitan ng ADB ang dumating sa bansa nitong Disyembre 8, 2021.

#COVID19PH
#WeRiseAsOne
#RESBAKUNA+
#workingPCOO https://t.co/GiILtwraoJ",
54,2021-12-09 16:46:30,"so may healthworker din palang nagbibigay ng vaccine card sa mga taong ayaw magpabakuna/ayaw mabakunahan pero gusto ng vaccine card tsssk

paano kaya yun @DOHgovph
#GetVaccinated #ResBakuna",
55,2021-12-09 15:00:35,RT @pcoogov: TINGNAN: Ikinatuwa ni Pangulong Rodrigo Duterte ang mababang bilang ng kaso ng COVID-19 na naitatala sa Pilipinas sa gitna ng�,
56,2021-12-09 11:20:09,"TINGNAN: Ikinatuwa ni Pangulong Rodrigo Duterte ang mababang bilang ng kaso ng COVID-19 na naitatala sa Pilipinas sa gitna ng banta ng Omicron variant na lubhang nakaapekto sa ibang bansa. 

#COVID19PH
#RESBAKUNA
#WeRiseAsOne
#workingPCOO https://t.co/ok5mKMTN36",
57,2021-12-09 09:44:59,"RT @civildefensePH: Matapos ang unang batch ng National Vaccination Days sa bansa, narito ang ilan sa mga kababayan natin na nakatanggap ng�",
58,2021-12-09 09:44:35,"Matapos ang unang batch ng National Vaccination Days sa bansa, narito ang ilan sa mga kababayan natin na nakatanggap ng bakuna laban sa COVID-19. 

#BayanihanBakunahan
#Resbakuna
#HeroesGetVaxxed
#BayaniAngBakunado
#BIDABakunation
#BIDASolusyonPlusSaCOVID19 https://t.co/CQ39XUthPj",
59,2021-12-09 09:35:55,"�Buong Pilipinas po ito, wala pong pinipili. Ito ay whole-of-government approach na lahat po ng ahensya ng gobyerno ay inatasan ng ating Pangulong [Rodrigo] Duterte na magtulungan upang ma-reach natin ang 7 million na target,� Corrales said.

#RESBAKUNA
#WeHealAsOnePH https://t.co/hPgVueoufK",
60,2021-12-09 09:30:00,"Nakahanda ang Sangguniang Kabataan ng Davao City upang muling tumulong sa lokal na pamahalaan sa pagbabakuna.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/D16a4LD28w",
61,2021-12-09 08:52:35,"NAVOBAKUNA | Sa tala ng ating City Health Office, 186,776 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 165,487 na ang nakakumpleto ng dalawang doses at 4,541 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/6VBwJsLhnY",
62,2021-12-08 23:30:00,"Nakatitiyak si Mayor Virginia Perandos  na malapit na nilang makamit ang herd immunity sa Carmen, Davao del Norte

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/87b0TqB5Y2",
63,2021-12-08 22:30:01,"Basahin ang update ni Mayor Virginia Perandos ukol sa bilang ng mga nabakunahan sa Carmen, Davao del Norte.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/OHOrHH4VeX",
64,2021-12-08 22:11:45,"WATCH: Tuloy ang #ResBakuna as an addt�l ?.??? ????? of GPH-procured Pfizer vaccines arrived today, Dec.8! Basta sama-sama�t tulong-tulong, makakamit ng Pilipinas ang VacciNATION!
#MoreVaccinesMoreLivesSaved #PartnershipsThatWork #WorkingPAFA #DuterteLegacy 
?@PTVph https://t.co/g6Q0TNm8c6",
65,2021-12-08 14:38:40,"TINGNAN: Sinabi ng @DOHgovph na nakatulong ang pagbabakuna laban sa COVID-19 at pagpapabuti ng kapasidad at healthcare systems sa pagbaba ng case fatality rate (CFR) sa bansa.

#COVID19PH 
#RESBAKUNA+ 
#WeRiseAsOne 
#workingPCOO https://t.co/UaksYLs6hT",
66,2021-12-08 12:00:01,"Demand generation ng DOH, patuloy para sa COVID-19 vaccines.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/wEjMB8bx7M",
67,2021-12-08 09:00:00,"NAVOBAKUNA | Sa tala ng ating City Health Office, 186,588 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 164,279 na ang nakakumpleto ng dalawang doses at 4,363 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/3L64WMVD4X",
68,2021-12-08 08:42:53,"Yung kaklase mo sa Nursing School yung nagturok sayo.. Thank you Nurse @irena_gracia ???? #fullyvacinnated #2nddose #pfizer #covidvacccine #fightcovid #calambakuna #resbakuna @ Paseo Uno de Calamba, Inc. https://t.co/9Djy5Y9eOT",
69,2021-12-08 07:15:08,"TINGNAN | Nagpapatuloy ang pagbabakuna ng first doses sa mga mamamayan ng lungsod ng San Pablo at mga karatig bayan sa vaccination sites ng San Pablo Mega Vaccination. | via Tom Alvarez | RP1 Lucena

Photos: CIO San Pablo

#resbakuna",
70,2021-12-07 22:09:32,"NAVOBAKUNA | Sabay-sabay ang bakunahan ng ating mga kabataang 12-17 taong gulang at mga 18 taong gulang pataas. 

Paalala po na meron pa rin tayong Vax 1, Take 1 sa Pfizer para sa mga kabataang magpababakuna kasama ang kanilang magulang o guardian. 

#NavoBakuna 
#RESBAKUNA https://t.co/69Mc1VxP5X",
71,2021-12-07 22:01:58,"RT @pcoogov: TINGNAN: Nagpahayag ng pasasalamat si Pangulong Rodrigo Duterte sa ating healthcare workers, volunteers, at gov't officials na�",
72,2021-12-07 21:56:54,"RT @pcoogov: TINGNAN: Nitong Disyembre 6, 2021, dumating sa bansa ang pinakabagong shipment ng 1,085,760 na doses ng Pfizer vaccines na bin�",
73,2021-12-07 20:10:34,"Sa kasalukuyan, nasa 146.4 million doses ng COVID-19 vaccines na ang na-deliver sa bansa.

#workingPCOO
#WeRiseAsOne
#RESBAKUNA+
#COVID19PH",
74,2021-12-07 19:30:39,"Isinasagawa ang naturang aktibidad sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng lalawigan.

December 7, 2021

#BatangasMagiting
#HandaIngatMagiting 
#HugasIwasMask
#COVID19VaccinePH 
#RESBAKUNA
#BIDABakunation
#BIDASolusyon https://t.co/pSS2cEFJdn",
75,2021-12-07 18:31:28,"RT @pcoogov: TINGNAN: Sa naganap na Talk to the People nitong Lunes, iniulat ni Presidential Adviser for COVID-19 Response and Testing Czar�",
76,2021-12-07 18:10:31,"Sa naganap na 'Bayanihan, Bakunahan' national vaccination drive, higit 10 milyong doses ang naibakuna sa buong bansa.

#workingPCOO
#WeRiseAsOne
#RESBAKUNA+",
77,2021-12-07 17:53:52,"TIGNAN: Nasa 525,361 na ang nakatanggap ng first dose sa Bataan habang 392,284 naman ang fully vaccinated na. Nasa 10,260 na din ang tumanggap ng booster shot. 

#RESBAKUNA  
#BIDABakunation  
#BIDASolusyon+
#explainexplainexplain https://t.co/68qj5D4eO2",
78,2021-12-07 17:11:48,"TINGNAN: Sa naganap na Talk to the People nitong Lunes, iniulat ni Presidential Adviser for COVID-19 Response and Testing Czar Sec. Vince Dizon na nakamit ng bansa ang daily average na 2,05,912 jabs, sa pinalawig na national vaccination drive.

#workingPCOO
#RESBAKUNA+ https://t.co/nTeh6setR9",
79,2021-12-07 16:40:33,"TINGNAN: Nitong Disyembre 6, 2021, dumating sa bansa ang pinakabagong shipment ng 1,085,760 na doses ng Pfizer vaccines na binili ng gobyerno.

#COVID19PH 
#RESBAKUNA 
#WeRiseAsOne
#workingPCOO https://t.co/EdfSCYfttg",
80,2021-12-07 15:24:04,"TINGNAN: Nagpahayag ng pasasalamat si Pangulong Rodrigo Duterte sa ating healthcare workers, volunteers, at gov't officials na nagtulung-tulong upang makamit natin ang tagumpay sa programang �Bayanihan, Bakunahan� ng pamahalaan.

#COVID19PH
#RESBAKUNA
#WeRiseAsOne
#workingPCOO https://t.co/rhpK2QFMbk",
81,2021-12-07 14:59:11,RT @pcoogov: TINGNAN: Inaasahan ni Pangulong Rodrigo Duterte  na magiging mas maganda ang darating na mga araw kung patuloy na makakapagtal�,
82,2021-12-07 13:05:23,"TINGNAN: Inaasahan ni Pangulong Rodrigo Duterte  na magiging mas maganda ang darating na mga araw kung patuloy na makakapagtala ang bansa ng mas kaunting aktibong kaso ng COVID-19.

#COVID19PH
#RESBAKUNA
#WeRiseAsOne
#workingPCOO https://t.co/7ozcTjur2u",
83,2021-12-07 12:33:42,"TINGNAN: Inanunsyo ni Pangulong Rodrigo Duterte na ang ikalawang �Bayanihan, Bakunahan� ay magaganap ngayong Disyembre 15-17, 2021. 

#COVID19PH
#RESBAKUNA
#WeRiseAsOne
#workingPCOO https://t.co/DVRo2QBBXj",
84,2021-12-07 11:29:39,RT @pcoogov: TINGNAN: Dumating na sa Pilipinas ang karagdagang doses ng Moderna vaccines na binili ng pamahalaan sa NAIA Terminal 1 nitong�,
85,2021-12-07 09:00:01,"NAVOBAKUNA | Sa tala ng ating City Health Office, 186,168 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 163,126 na ang nakakumpleto ng dalawang doses at 4,055 na ang nakatanggap ng booster.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/frx3uEJvrm",
86,2021-12-06 23:54:36,"TINGNAN: Dumating na sa Pilipinas ang karagdagang doses ng Moderna vaccines na binili ng pamahalaan sa NAIA Terminal 1 nitong December 6, 2021.

#RESBAKUNA 
#COVID19PH
#WeRiseAsOne
#workingPCOO https://t.co/vU9zBKOUQ9",
87,2021-12-06 23:19:08,"NEWS UPDATE: Inanunsyo ni Pangulong Rodrigo Roa Duterte na mas mababa ang target sa gaganaping ikalawang Bayanihan Bakunahan sa Dis. 15-17 bunsod ng bilang ng Pilipinong kailangang mabakunahan.

#BayanihanBakunahan
#Resbakuna

(1/2) https://t.co/0e5ulyHkY1",
88,2021-12-06 21:30:00,"Matagumpay ang Bayanihan Bakunahan sa Mabuhay, Zamboanga Sibugay.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/8sZO7zhJBc",
89,2021-12-06 20:25:54,"doon tayo sa bakunado ???
#resbakuna #kasanggangbida

#ARSD #ARMYSelcaDay @BTS_twt ? https://t.co/7gsKT20huD",
90,2021-12-06 19:50:10,"Tara na at magpa RESBAKUNA na

Pahalagahan ang ating kalusugan at   proteksyunan ang ating mga mahal sa buhay

#Resbakuna https://t.co/ea9170AzeL",
91,2021-12-06 19:45:00,"Isinasagawa ang naturang aktibidad sa DREAM Zone, Capitol Compound, Batangas City, na itinalagang vaccination site ng lalawigan.

December 6, 2021

#BatangasMagiting
#HandaIngatMagiting 
#HugasIwasMask
#COVID19VaccinePH 
#RESBAKUNA
#BIDABakunation
#BIDASolusyon https://t.co/trU9WMFamz",
92,2021-12-06 13:53:12,"RT @civildefensePH: Narito ang mga posibleng side effect ng bakuna kontra COVID-19. Matapos magpabakuna, kung maaari ay maglaan ng dalawa h�",
93,2021-12-06 13:53:02,"Narito ang mga posibleng side effect ng bakuna kontra COVID-19. Matapos magpabakuna, kung maaari ay maglaan ng dalawa hanggang tatlong araw upang makapagpahinga. 

#BayanihanBakunahan
#Resbakuna
#HeroesGetVaxxed
#BayaniAngBakunado
#BIDABakunation
#BIDASolusyonPlusSaCOVID-19 https://t.co/CskYLEHoj5",
94,2021-12-05 17:00:00,"OFWs sa Middle East, napabakunahan na laban sa COVID-19.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/3ARyEMipmc",
95,2021-12-05 14:17:44,"Tuloy parin ang pagbabakuna sa mga LGU pagkatapos ng  National Vaccination Days kaya pumunta na sa pinakamalapit na vaccination site sa inyong lugar.

#resbakuna #ligtaschristmas https://t.co/EYS63FW40T",
96,2021-12-05 01:54:20,"RT @PTVph: #PTVBalitaNgayon | Dec. 4, 2021 / 1:00 p.m. update

Bilang ng mga nabakunahan sa isinagawang National Vaccination Day, umabot sa�",
97,2021-12-04 23:00:02,"Adverse effects, maaaring maranasan kung hindi susundin ang guidelines sa pagbibigay ng COVID-19 booster shot.
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/hCgCYpH3Lf",
98,2021-12-04 21:32:41,RT @PIADesk: Pinaigting ng National Task Force (NTF) Against COVID-19 ang paghahanda sa posibleng banta ng Omicron variant sa Pilipinas.�,
99,2021-12-04 21:31:52,"Pinaigting ng National Task Force (NTF) Against COVID-19 ang paghahanda sa posibleng banta ng Omicron variant sa Pilipinas. 
 
https://t.co/GuB4Hdtyj1
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #COVID19Ph https://t.co/hIlYX7r5DB",
100,2021-12-04 20:28:36,"NAVOBAKUNA | Narito po ang schedule ng ating pagbabakuna sa 5-11 December 2021. 

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/6ibAgWWXod",
101,2021-12-04 19:50:57,"NAVOBAKUNA | Nagbabakuna po tayo kahit Sabado. Parati pong icheck ang vaccination schedule na ipinopost natin dito sa Navoteno Ako Facebook page.

#NavoBakuna 
#RESBAKUNA
#BIDABakunation 
#BIDASolusyon+ https://t.co/kkKhIK2jYm",
102,2021-12-04 18:53:30,"#doh #RESBAKUNA Kung may cash incentive siguro magpapa vaccine, marami ma encourage. tanggalin ayuda, bigyan cash ang mga magpa vaccine til second dose. opinyon ko lang.",
103,2021-12-04 17:30:00,"Bayanihan Bakunahan, may kasamang pa-raffle sa Arteche, Eastern Samar.

#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/PafzwnLCp4",
104,2021-12-09 12:13:28,"Gaisano, Iligan #BidaBakunation https://t.co/dE3mcaqqLy",
