,Unnamed: 0,Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id,Unnamed: 12,Sentiment
0,0,2022-01-18 15:59:54,??dhars ??,9.87920556623188E+017,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Boosted by #moderna
#BakunaBayaniTayo
#Resbakuna @ Forum Robinsons https://t.co/hiHi76wIcq",14.57132579,121.04751088,0.0,1.48334840769971e+18,,1
1,1,2022-01-24 08:59:59,shing,870178296,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Done with our booster shot!
?

#Moderna @ Solaire Theater https://t.co/tY0MLtDMfe",14.52269331,120.98322057,0.0,1.48541705859466e+18,,1
2,2,2022-01-21 19:04:12,engr davis yolangco,177164341,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Will always be thankful� ??? 

Got my Moderna booster and Bhei�s second dose. ?

#MVPGroupWeGotYourVac #ePLDT #PLDTGroup #Moderna #ThankYou @ Pldt Santa Ana https://t.co/Zlo4u3au3S",14.5759187,121.00538825,0.0,1.48448195285822e+18,,1
3,3,2022-01-21 11:12:58,Kim,290392135,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,Dont forget to get your Booster! ? #Moderna https://t.co/5Bf8QcAacE,,,0.0,1.48436336494841e+18,,1
4,4,2022-01-19 14:05:18,catherine toyogon-ma,477532246,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Boosted!!!

#boostershot #moderna #angsakit!!!! @ Benigno 'Ninoy' S. Aquino High School (BNAHS) https://t.co/BOUU9Gy2dW",14.54927636,121.06481636,0.0,1.48368195560658e+18,,0
5,5,2022-01-19 11:18:27,? ?.?.?.?. ?,150872005,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,Booster done for the parentals! ???? // 01.19.2022 #Moderna #VaccOnTrack #GreatPlaceToWork #BestPlaceToWork @ Up Ayala Technohub Gym https://t.co/Tty3WtUHvs,14.63809035,121.01461236,0.0,1.4836399673059e+18,,1
6,6,2022-01-19 04:27:50,Bryan Andrew?,235104922,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,So grateful to all who made this possible!#booster #drivethrushot #moderna @ Para�aque City Manila https://t.co/lGLxikQCui,14.4971693,120.9931687,0.0,1.48353663050596e+18,,1
7,7,2022-01-18 15:59:54,??dhars ??,9.87920556623188E+017,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Boosted by #moderna
#BakunaBayaniTayo
#Resbakuna @ Forum Robinsons https://t.co/hiHi76wIcq",14.57132579,121.04751088,0.0,1.48334840769971e+18,,1
8,8,2022-01-18 14:18:33,DDee,169905325,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"Thank you #mmc ??? 
Boosted! ???? #Moderna https://t.co/4NZS9adHLO",,,0.0,1.48332290467886e+18,,1
9,9,2022-01-18 00:02:12,Rei (???),404256023,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Covid Vaccine Booster shot, done! ???? Thank you, Solaire Resort Foundation!! Lets all be safe and protect each other ????#vaccinated #Moderna @ Solaire Resort https://t.co/IUErCxq4lW",14.52327509,120.98117009,0.0,1.48310739420497e+18,,1
10,10,2022-01-16 13:16:33,Paul Marfil,855730482,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,Got my Covid19 booster shot. #Moderna #FightCovid19 https://t.co/NsYRddy7vN,,,0.0,1.48258252637159e+18,,1
11,11,2022-01-16 09:16:12,Alvin Jorge,2977002818,alvinjorgept,2977002818.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Booster today, sakit katawan the next day. #Moderna ???",,,0.0,1.48252203642968e+18,,1
12,12,2022-01-16 09:11:30,Aldous Castro,21643663,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Just had my Moderna booster shot. Yey! Thank you AVIP!

#avip #moderna #vaccine #covidshield @ UP AyalaLand Technohub https://t.co/aiinCHhsWS",14.65745214,121.05600994,0.0,1.48252085363188e+18,,1
13,13,2022-01-24 10:15:50,Zamboanga City Mobile Force Company,1.14912642622376E+018,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @DOHgovph: Basahin ang mga FAQs na ito para sa karagdagang impormasyon ukol sa vaccination rollout sa mga botika! ?

#RESBAKUNA
#BIDASol�",,,6.0,1.48543614849975e+18,,0
14,14,2022-01-24 10:15:46,Zamboanga City Mobile Force Company,1.14912642622376E+018,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"RT @DOHgovph: Basahin ang mga FAQs na ito para sa karagdagang impormasyon ukol sa vaccination rollout sa mga botika! ?

#RESBAKUNA
#BIDASol�",,,6.0,1.48543613039714e+18,,0
15,15,2022-01-24 08:33:47,Navotas City,150876668,,-1.0,tl,<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>,"NAVOBAKUNA | Sa tala ng ating City Health Office, 196,670 na ang nakatanggap ng first dose ng COVID-19 vaccine. Sa bilang na ito, 184,642 na ang nakakumpleto ng dalawang doses at 39,994 na ang nakatanggap ng booster.

#NavoBakuna
#RESBAKUNA
#BIDABakunation
#BIDASolusyon+ https://t.co/A0OPSUS2Pi",,,0.0,1.4854104674852e+18,,1
16,16,2022-01-24 04:48:49,Cicero,2988965126,,-1.0,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"RT @DOHgovph: Sa patuloy na laban kontra COVID-19, sinong hero ka? ????

? Boy-Alon 
? Spreadatron
? Disha-Vax
? Captain Bakuna

Huwag papa�",,,9.0,1.48535385044619e+18,,1
17,17,2022-01-23 22:15:01,lala ? #Restore_JINROCK ?,1.39034644534612E+018,mj_ArRoha,1.39669434845295e+18,tl,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,@mj_ArRoha HAHAHAHA #boosted #resbakuna,,,0.0,1.48525474833305e+18,,1
18,18,2022-01-23 16:01:12,Jemar Talaban,284266570,,-1.0,tl,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,Ang tagal pala ng Vaccination Drive Thru dito Manila. Mauubos na po yung gas namin :( 9am pa kme nakapila eh. Sbi nila kuya Guard mabilis lang daw. :/ #resbakuna @ABSCBNNews @gmanews @News5PH,,,0.0,1.48516067667935e+18,,0
19,19,2022-01-23 15:30:00,PIA Desk,525171812,,-1.0,tl,<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>,"Gaano karami na ang nabakunahan sa Southern Leyte? Alamin mula kay Governor Damian Mercado.
 
#RESBAKUNA #BIDABakunation #BIDASolusyon+ #ExplainExplainExplain https://t.co/hBuTQ4P0mr",,,0.0,1.48515282271472e+18,,1
