,Created-At,Text,Brand,Sentiment
0,2021-10-24 19:31:00,The side effects of 2nd dose is the worst tbh #AstraZeneca,Astrazeneca,0
1,2021-10-31 00:18:00,Is the vaccine really worth it? I am double jabbed but this week I have tested positive for COVID and I can honestly say it has knocked me I have been in bed since Wednesday.  Does the vaccine work? Why are the numbers rising? #COVID #AstraZeneca #BoosterShots,Astrazeneca,0
2,2021-10-30 22:26:00,"Got my 1st dose of astra today heart

_wag Naman Sana tayong lagnatin self no?HAHAHA may exam ka next week kaya dapat makisama ka??

#AstraZeneca",Astrazeneca,0
3,2021-11-03 11:22:00,Aray ko naman ang bigat nya pala sa braso #AstraZeneca #GetVaccinated https://t.co/Hw5YvNXkSc,Astrazeneca,0
4,2021-11-14 18:20:00,"Nagpa vaccine lang ako, mas naging sensitive skin ko. Like wtf....
#AstraZeneca ??",Astrazeneca,0
5,2021-11-08 11:20:00,"2nd dose done check Pero mas sakit ang pag inject kaysa first dose, pero wala ako symptoms na feel di parehas sa first nagka chilsl ako #RESBAKUNA #AstraZeneca",Astrazeneca,1
6,2021-11-15 02:43:00,"Second Dose done! I've been waiting for ever! ????

AstraZeneca Episode 2 was much easier than episode 1, felt even less effects than the first jab. ????

#AstraZeneca #GetVaccinated #2DoseClub https://t.co/ykqBlVDNPY",Astrazeneca,1
7,2021-11-12 15:32:00,"Done Vaccine dose 2
#AstraZeneca",Astrazeneca,1
8,2021-11-15 09:37:00,"2nd dosecheck????
#fullyvaccinated
#AstraZeneca https://t.co/DPaPajlfkR",Astrazeneca,0
9,2021-11-10 21:54:00,Finally time for 2nd dose! #AstraZeneca,Astrazeneca,1
10,2021-11-15 17:31:00,"Got my first dose??
#letsgetvaccinated 
#AstraZeneca",Astrazeneca,1
11,2021-11-07 13:25:00,Hot afternoon???? my feeling so hot because of my first dose vaccine #AstraZeneca,Astrazeneca,0
12,2021-11-07 07:50:00,"first dose done
#AstraZeneca",Astrazeneca,1
13,2021-11-12 15:04:00,"Fully Vaccinated??
#AstraZeneca",Astrazeneca,1
14,2021-11-07 02:39:00,"Ashes to ashes , dust to dust,if corona does not get you, AstraZeneca must.#corona #vaccin  #astrazeneca",Astrazeneca,0
15,2021-11-13 10:48:00,1st dosecheck #vaccinated #AstraZeneca,Astrazeneca,0
16,2021-11-11 15:47:00,"@valenzuelacity thank God I'm fully vaccinated
#AstraZeneca?? 
#bakundongvalenzulano 
God is good all the time ??????
Salamat PO sa ating butihing mayor @rex_gatchalian ?????? https://t.co/TLwGcGG8F4",Astrazeneca,1
17,2021-11-09 11:53:00,"Done for 1st dose vaccine ??
#AstraZeneca check",Astrazeneca,1
