,Unnamed: 0,Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
0,0,2021-12-10 10:52:01,JoseRey360?,2282042466.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Here you go. @GovRamil Looking good in Laguna.
#COVID19 #resbakuna https://t.co/oW7VFlOvu5",,,0,1.46913780172392e+18
1,1,2021-12-09 19:16:32,Reginald R. Manahan,293962377.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Got Zombified! ?

#BoosterShot #Pfizer
#ResBakuna ?? https://t.co/aBsj4nwSnt",,,0,1.46890237614466e+18
2,2,2021-12-08 01:07:49,bianca villaverde ??,282064656.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Happiest 1st Year Anniversary to my #TeamBakuNanay FAM!

#ProudToBeABakuNanay #VaccineWorksForAll #HealthierPhilippines #AllAboutBakuna #RESBakuna #BIDABAKUNATION https://t.co/HUXX6vJ2dJ",,,0,1.46826600412417e+18
3,3,2021-12-07 16:09:23,J.J. Besa,40185547.0,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"ALL COVID-19 boosters work!

While most studies show ???? immunogenicity with mRNA-based boosters (i.e. Pfizer, Moderna) regardless of primary series, ALL boosters show ?? antibody titers! 

Schedule your booster shot with your LGU/health facility! #ResBakuna #COVID19 https://t.co/oZ30uPW6Dx",,,1,1.46813050514115e+18
4,4,2021-12-06 23:42:43,Charinah Madlangbayan,791405887.0,,-1.0,en,<a href='http://instagram.com' rel='nofollow'>Instagram</a>,"Thanks God, I just got my second dose of vaccine today ???? Finally, I'm fully vaccinated ?? #Pfizer #FullyVaccinated #GetVaccinatedToBeProtected #Resbakuna @ Nasugbu Auditorium https://t.co/twD6i9xOJN",14.07389082,120.63291794,0,1.46788220087189e+18
5,5,2021-12-05 05:50:42,Eugene Carlos Paragas,1.06498726121153e+18,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,Weekend Bakunahan later at Bugallon and Basista later this afternoon with Covid Vaccination Team I. #buhaypublichealth #resbakuna,,,0,1.46725003246659e+18
6,6,2021-12-08 01:07:49,bianca villaverde ??,282064656.0,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Happiest 1st Year Anniversary to my #TeamBakuNanay FAM!

#ProudToBeABakuNanay #VaccineWorksForAll #HealthierPhilippines #AllAboutBakuna #RESBakuna #BIDABAKUNATION https://t.co/HUXX6vJ2dJ",,,0,1.46826600412417e+18
7,7,2021-12-07 09:26:21,Catbalogan City,8.68639590915101e+17,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,"As part of the 'Manaragat Speaks' campaign, Queen Manaragat 2021 Jayne Plasabas shares her thoughts on getting vaccinated:

#manaragatadvocate
#manaragatorganization #queenmanaragat #missmaquedagay  #manaragatfestival #catbalogancity #resbakunakasanggangbida2021 #BIDABakunation https://t.co/k7RBgy57oq",,,0,1.46802907783555e+18
8,8,2021-12-10 21:28:34,Murdoc,266943489.0,,-1.0,en,<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>,Boost your immune system go for a booster #Sinovac #homologousbooster https://t.co/RJkeRsrwQa,,,0,1.46929799374481e+18
9,9,2021-12-09 22:23:22,Boss,1.34471005431485e+18,,-1.0,en,<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>,"Second dose done.
#Sinovac",,,0,1.46894939607965e+18
